Depth,pH,SS(%),SiO2,Al2O3,CaO,MgO,Fe2O3,SO3,Na2O,K2O,Ettringite (%),Predicted value
5.0, 9.9, 0.0, 73.2, 18.7, 1.88, 0.45, 2.51, 1.3, 0.0, 0.7, 0.0,0
1.0, 7.4, 0.0, 63.6, 26.0, 0.961, 0.23, 7.33, 0.33, 0.0, 0.39, 0.0,0
4.0, 8.9, 0.1823, 74.9, 8.79, 6.29, 0.49, 2.09, 5.99, 0.0, 0.31, 1.0,1
3.0, 10.7, 0.1002, 70.6, 9.11, 8.0, 0.4, 2.28, 8.13, 0.0, 0.29, 1.0,1
2.0, 10.7, 0.0874, 60.2, 17.9, 9.48, 0.23, 3.99, 6.87, 0.0, 0.33, 1.0,1
1.0, 11.0, 0.0298, 55.3, 8.21, 16.3, 0.6, 2.82, 15.3, 0.0, 0.31, 1.0,1
2.0, 12.1, 0.1339, 53.1, 7.62, 19.4, 0.41, 2.28, 15.6, 0.0, 0.31, 1.0,1
1.0, 11.9, 0.4725, 48.5, 7.99, 20.6, 0.74, 2.87, 17.7, 0.0, 0.32, 1.0,1
3.0, 10.8, 0.0989, 65.7, 10.2, 10.2, 0.42, 2.82, 9.08, 0.0, 0.37, 1.0,1
3.0, 11.7, 0.2055, 45.7, 11.2, 21.9, 0.4, 4.2, 15.0, 0.0, 0.31, 1.0,1
