Depth,pH,SS(%),SiO2,Al2O3,CaO,MgO,Fe2O3,SO3,Na2O,K2O,Ettringite (%)
4,9.9,0,81.7,8.15,3.41,0.33,2.12,2.7,0,0.29,0
3,10,0,76.9,8.76,4.86,0.25,2.97,4.62,0,0.34,0
5,8.1,0.0559,84.1,9.57,0.555,0.22,3.32,0.57,0,0.32,0
5,3.8,0,88.3,8.14,0.12,0.26,1.38,0.16,0,0.3,0
5,8.1,0,85.1,8.72,0.27,0.2,3.72,0.31,0,0.3,0
1,8.9,0.0028,68.3,25,1.08,0.21,4.23,0.14,0,0.31,0
1,9.6,0,68.5,24.1,1.15,0.22,4.52,0.48,0,0.34,0
1,8.9,0.0199,59.9,20.7,10.7,0.28,6.87,0.27,0,0.31,0
1,9.1,0.0317,65.1,22,2.79,0.24,6.89,1.8,0,0.33,0
5,9.8,0.1023,77.3,11,3.44,0.36,3.28,3.02,0,0.32,1
4,10.4,0.0692,76.5,10.7,3.88,0.28,3.94,3.23,0,0.29,1
2,10.6,0.1634,65.1,10.7,10.2,0.53,2.95,8.74,0.2,0.39,1
3,10.7,0.0915,68.7,11.2,8.44,0.39,2.56,7.23,0,0.38,1
4,9.9,0.1575,75.6,7.65,6.88,0.44,2.11,5.72,0,0.3,1
3,12.3,0.0834,46.7,5.32,24,0.54,2.6,19.2,0,0.23,1
5,10.6,0.0955,70.6,10.6,7.67,0.35,2.79,6.45,0,0.34,1
4,11,0.0876,69.4,9.68,8.97,0.36,2.55,7.49,0,0.34,1
1,10.6,0.001069,70.5,9.65,8.58,0.36,2.34,7.14,0,0.32,1
1,10.8,0,64.4,9.11,12.4,0.39,2.62,9.48,0,0.33,1
2,10,0.1328,68.7,12.9,6.95,0.42,3.61,5.74,0,0.436,1
2,10.7,0.1691,64.9,11.4,9.96,0.53,3.24,8.28,0,0.38,1
1,10.8,0.1837,64,9.85,11.7,0.35,2.77,9.68,0,0.36,1
3,10.8,0.0008,59.1,9.88,13,0.52,2.96,13,0,0.35,1
4,11.7,0.1413,59.6,8.47,16.1,0.38,2.33,11.6,0,0.29,1
1,11.4,0.1297,54.3,7.4,19.5,0.38,2.92,13.6,0,0.33,1
1,12.3,0.167,48.4,7.36,23.5,0.42,2.35,16.3,0,0.29,1
1,10.3,0.1744,56.4,8.63,16.7,0.61,3,13.1,0,0.33,1
1,11.3,0.0012,52.2,7.85,20.5,0.61,3.03,14.3,0,0.35,1
2,11.7,0.1236,56.5,8.14,16.9,0.43,2.3,14,0,0.32,1
4,11.2,0.1302,57.9,9.24,15.5,0.42,2.38,13,0,0.3,1
2,11.2,0.1369,66.2,9.45,11,0.35,2.64,8.69,0,0.34,1
1,11.2,0.1969,57.5,8.86,15.6,0.41,2.93,13.1,0,0.34,1
3,11.7,0.0136,40.9,10.6,26,0.47,3.43,17,0,0.29,1
4,10.7,0.1231,50.5,10.6,18.4,0.56,3.06,15.1,0,0.31,1
4,11.9,0,44.7,8.5,23.7,0.48,2.68,18.4,0,0.26,1
3,11.7,0.2055,45.7,11.2,21.9,0.4,4.2,15,0,0.31,1
3,11.6,0.2068,48.4,11.8,20,0.36,3.94,13.8,0,0.3,1
1,11,0,49.3,7.84,18.9,0.73,2.94,18.8,0,0.31,1
5,9.9,0,73.2,18.7,1.88,0.45,2.51,1.3,0,0.7,0
1,7.4,0,63.6,26,0.961,0.23,7.33,0.33,0,0.39,0
4,8.9,0.1823,74.9,8.79,6.29,0.49,2.09,5.99,0,0.31,1
3,10.7,0.1002,70.6,9.11,8,0.4,2.28,8.13,0,0.29,1
2,10.7,0.0874,60.2,17.9,9.48,0.23,3.99,6.87,0,0.33,1
1,11,0.0298,55.3,8.21,16.3,0.6,2.82,15.3,0,0.31,1
2,12.1,0.1339,53.1,7.62,19.4,0.41,2.28,15.6,0,0.31,1
1,11.9,0.4725,48.5,7.99,20.6,0.74,2.87,17.7,0,0.32,1
3,10.8,0.0989,65.7,10.2,10.2,0.42,2.82,9.08,0,0.37,1
3,11.7,0.2055,45.7,11.2,21.9,0.4,4.2,15,0,0.31,1
